signature,timestamp,datetime_utc,type,slot,source,fee_lamports,amount_raw,amount_ui,decimals,from_user,from_token_account,description
5CaLfW2CrDTSpwSiJD8TfbxRPbswdCaQksUTjWoookrVu4wqWr7yH4BzobmNZawZCdYenrqfmQ93BtMHNhEoGpCG,1773801584,2026-03-18 02:39:44+00:00,BURN,407142856,SOLANA_PROGRAM_LIBRARY,5150,,152429.819066,,DL22Kk1wFKjv3hqmFrNpUPem1ecyAaDXiy7hQEdEvX3a,4V65RCztKgE2EaivMVo4icuKAVkWPEEaoWKpTsUhNhwX,DL22Kk1wFKjv3hqmFrNpUPem1ecyAaDXiy7hQEdEvX3a burned 152429.819066 DUSD.
4MCvNqeGbUV14czCXRQxmCC6er5xX2eX2F1SFqy54XikfkT4PFy7deV68APaFfNXJLMuhUzmXaSZyzGpQNQejgjF,1773707936,2026-03-17 00:38:56+00:00,BURN,406905151,SOLANA_PROGRAM_LIBRARY,5550,,128424.089496,,DL22Kk1wFKjv3hqmFrNpUPem1ecyAaDXiy7hQEdEvX3a,4V65RCztKgE2EaivMVo4icuKAVkWPEEaoWKpTsUhNhwX,DL22Kk1wFKjv3hqmFrNpUPem1ecyAaDXiy7hQEdEvX3a burned 128424.089496 DUSD.
u58Afxdew5TuQ6o826qx2y1LdhmnpjMv97a1HYYYiV5nGSRsxD6ehEUKQJVQ4EPXYCnn3vGTEBjnMsYNRYU4qUY,1773687786,2026-03-16 19:03:06+00:00,BURN,406854129,SOLANA_PROGRAM_LIBRARY,5495,,145481.066295,,DL22Kk1wFKjv3hqmFrNpUPem1ecyAaDXiy7hQEdEvX3a,4V65RCztKgE2EaivMVo4icuKAVkWPEEaoWKpTsUhNhwX,DL22Kk1wFKjv3hqmFrNpUPem1ecyAaDXiy7hQEdEvX3a burned 145481.066295 DUSD.
66cuy7MSBxUuuXtk8mFbBTD3UyLVKDJmWhjm85dgRc7f5gWm6fepXt324LoU4CGsDcKccDJ1E78erTwB2MQSqHXF,1773622001,2026-03-16 00:46:41+00:00,BURN,406687079,SOLANA_PROGRAM_LIBRARY,5355,,145662.3427,,DL22Kk1wFKjv3hqmFrNpUPem1ecyAaDXiy7hQEdEvX3a,4V65RCztKgE2EaivMVo4icuKAVkWPEEaoWKpTsUhNhwX,DL22Kk1wFKjv3hqmFrNpUPem1ecyAaDXiy7hQEdEvX3a burned 145662.3427 DUSD.
41RZG5T65mHzo7y82SeMXEiXNBuTFzvWJxTEUg1EzoBRcAB92zFxUW1AcxtUDCG969U6yCM19DCWPJawsd1uHafB,1773617930,2026-03-15 23:38:50+00:00,BURN,406676715,SOLANA_PROGRAM_LIBRARY,5000,,0.019802,,BURNNeQ2zERsVhL6GgJR45CvGtwdxHeWBs4B5V4zRFgL,61XhMi6t2AURurN4LMfHDtv57JHdRVU234hrEMdsyXcr,BURNNeQ2zERsVhL6GgJR45CvGtwdxHeWBs4B5V4zRFgL burned 0.035407 PEKONG.
ahenaxBAKXJ1gfo4VynfcFzSitn2NvXt2koB4PCeb9CCjYaVCZy6XjKmYqqHwARbYHwM2YCSqiPSiKvcwguJmRW,1773604593,2026-03-15 19:56:33+00:00,BURN,406642854,SOLANA_PROGRAM_LIBRARY,5264,,156595.616893,,DL22Kk1wFKjv3hqmFrNpUPem1ecyAaDXiy7hQEdEvX3a,4V65RCztKgE2EaivMVo4icuKAVkWPEEaoWKpTsUhNhwX,DL22Kk1wFKjv3hqmFrNpUPem1ecyAaDXiy7hQEdEvX3a burned 156595.616893 DUSD.
5obF6DGZmMHTgqqg1XjozFyYzMLZCJH5LJxHYjfu5sCqE1SCEjKWxuuGtoBQLqLu6ioG6L3qnGQEqGmRQ5j1fgyk,1773603949,2026-03-15 19:45:49+00:00,BURN,406641233,SOLANA_PROGRAM_LIBRARY,5345,,157021.737456,,DL22Kk1wFKjv3hqmFrNpUPem1ecyAaDXiy7hQEdEvX3a,4V65RCztKgE2EaivMVo4icuKAVkWPEEaoWKpTsUhNhwX,DL22Kk1wFKjv3hqmFrNpUPem1ecyAaDXiy7hQEdEvX3a burned 157021.737456 DUSD.
4J39kHtV1mx5rVFsmnFW61inN83GDMSTKf12xFikiQ78zwzB2nGkiH5ZmxqbDY1EbW9uRbycwkHreJ1zANeE2AT7,1773587453,2026-03-15 15:10:53+00:00,BURN,406599445,SOLANA_PROGRAM_LIBRARY,5184,,186735.029415,,DL22Kk1wFKjv3hqmFrNpUPem1ecyAaDXiy7hQEdEvX3a,4V65RCztKgE2EaivMVo4icuKAVkWPEEaoWKpTsUhNhwX,DL22Kk1wFKjv3hqmFrNpUPem1ecyAaDXiy7hQEdEvX3a burned 186735.029415 DUSD.
2U4K9uQkDyYWGF49oCSi9PDKRe5Pe5WwnMn6omR56tJxr64FXx4HQTT5B52eZ2Lyergz6Zd9D8XQdEnF3J9bL93S,1773580912,2026-03-15 13:21:52+00:00,BURN,406582895,SOLANA_PROGRAM_LIBRARY,8736,,1e-06,,7DKykbfWjNxGd1NWHA2T2mai1JBJMrh29xUt9LpWZXcn,6JG6pKDjDdFnHpP5ME18pCvDmns6U7sFRBVpxjR8U9WA,7DKykbfWjNxGd1NWHA2T2mai1JBJMrh29xUt9LpWZXcn burned 500 BITGIRL.
3QnRpXrP7Y6LrkxWkpVL1RLS13ymXYB2RSJECd8sk6zNwrNVj4AhAZKazLhNJwX9ch2Kg19pTZcWHbwNhe5iyJ3b,1773510690,2026-03-14 17:51:30+00:00,BURN,406404778,SOLANA_PROGRAM_LIBRARY,5300,,190711.146617,,DL22Kk1wFKjv3hqmFrNpUPem1ecyAaDXiy7hQEdEvX3a,4V65RCztKgE2EaivMVo4icuKAVkWPEEaoWKpTsUhNhwX,DL22Kk1wFKjv3hqmFrNpUPem1ecyAaDXiy7hQEdEvX3a burned 190711.146617 DUSD.
